AAA,2
AAC,9
AAE,8
AAL,7
AAM,2
AAN,10
AAQ,6
AAR,8
AAT,5
ABA,10
ABC,7
ABE,6
ABI,5
ABJ,8
ABM,3
ABQ,10
ABR,5
ABS,8
ABT,10
ABV,10
ABX,4
ABY,5
ABZ,4
ACA,10
ACC,10
ACE,6
ACH,2
ACK,4
ACT,5
ACV,4
ACY,9
ACZ,9
ADA,7
ADB,9
ADD,10
ADE,9
ADF,7
ADK,6
ADL,9
ADQ,6
ADZ,6
AEB,5
AEP,5
AER,8
AES,6
AEX,8
AEY,6
AFA,6
AFW,8
AGA,9
AGB,2
AGF,5
AGH,4
AGP,9
AGS,6
AGT,10
AGU,8
AGX,2
AHB,10
AHE,1
AHN,3
AHO,8
AHU,5
AIF,3
AIT,4
AIU,1
AJA,6
AJF,10
AJI,4
AJN,2
AJR,6
AJU,5
AKJ,6
AKL,10
AKN,7
AKU,6
AKV,1
AKX,9
ALA,10
ALB,7
ALC,8
ALF,5
ALG,10
ALH,4
ALO,7
ALP,8
ALS,7
ALW,4
ALY,5
AMA,10
AMD,10
AMM,10
AMQ,6
AMS,10
ANC,10
ANE,4
ANF,7
ANI,4
ANR,3
ANS,6
ANU,7
ANX,6
AOC,5
AOE,7
AOI,8
AOJ,9
AOK,6
AOR,7
AOT,2
APL,4
APN,7
APO,5
APW,8
AQA,4
AQG,8
AQH,1
AQI,8
AQJ,8
AQP,8
ARH,6
ARI,5
ARK,3
ARM,3
ARN,10
ARU,5
ARW,4
ASB,10
ASD,1
ASE,5
ASF,6
ASJ,4
ASK,8
ASP,6
ASR,8
ASU,10
ASV,1
ASW,10
ATA,9
ATC,5
ATH,10
ATL,10
ATM,5
ATQ,10
ATW,6
ATY,5
ATZ,9
AUA,8
AUC,5
AUH,10
AUR,4
AUS,10
AUU,2
AVK,6
AVL,6
AVN,4
AVP,6
AVV,9
AWA,10
AWZ,10
AXA,3
AXD,7
AXM,5
AXR,2
AXT,6
AYP,8
AYQ,7
AYT,10
AZA,9
AZD,10
AZO,4
AZR,8
AZS,8
BAF,7
BAH,10
BAL,9
BAQ,8
BAU,3
BAV,6
BAX,8
BAY,4
BBA,7
BBI,5
BBK,4
BBO,10
BBU,9
BCA,4
BCD,4
BCM,6
BCN,10
BDA,8
BDB,3
BDJ,6
BDL,8
BDO,5
BDP,2
BDQ,6
BDS,7
BDU,6
BEB,4
BEG,10
BEL,8
BEN,10
BES,9
BET,4
BEW,6
BEY,10
BFF,7
BFH,2
BFI,9
BFL,10
BFM,8
BFN,7
BFO,4
BFS,8
BFU,7
BGA,5
BGC,4
BGF,7
BGI,10
BGM,5
BGO,8
BGR,10
BGW,10
BGY,8
BHB,3
BHD,4
BHE,2
BHH,9
BHI,7
BHJ,7
BHK,8
BHM,9
BHO,5
BHQ,7
BHR,1
BHS,3
BHU,4
BHV,8
BHX,7
BHY,9
BIA,7
BIL,9
BIM,3
BIO,7
BIQ,5
BIR,3
BIS,7
BJA,6
BJD,1
BJF,1
BJI,5
BJL,10
BJM,10
BJP,1
BJV,8
BJX,10
BJZ,8
BKI,10
BKK,10
BKO,7
BKY,4
BLD,2
BLE,6
BLI,5
BLJ,8
BLK,4
BLL,9
BLQ,8
BLR,10
BLT,3
BLV,9
BMA,3
BMI,6
BMV,8
BMW,5
BNA,10
BNC,1
BND,10
BNE,10
BNK,4
BNN,1
BNX,7
BOB,2
BOC,2
BOD,9
BOG,10
BOH,6
BOI,9
BOJ,9
BOM,10
BON,8
BOO,10
BOS,9
BOY,10
BPN,6
BPT,5
BPX,10
BQK,6
BQN,10
BQS,8
BRC,6
BRD,4
BRE,5
BRI,6
BRN,4
BRO,6
BRQ,7
BRS,5
BRT,2
BRU,10
BRV,1
BRW,4
BSA,4
BSB,10
BSC,1
BSD,6
BSK,8
BSL,10
BSO,1
BSR,10
BST,4
BTH,10
